order_id,order_date,ship_date,ship_mode,customer_id,segment,country,city,state,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,Consumer,"United States","Los Angeles",California,West,FUR-TA-10001539,Furniture,Tables,"Chromcraft Rectangular Conference Tables",1706.18,9,0.20,85.3092
CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,Consumer,"United States","Los Angeles",California,West,TEC-PH-10002033,Technology,Phones,"Konftel 250 Conference phone - Charcoal black",911.42,4,0.20,68.3568
CA-2017-114412,2017-04-15,2017-04-20,"Standard Class",AA-10480,Consumer,"United States",Concord,"North Carolina",South,OFF-PA-10002365,"Office Supplies",Paper,"Xerox 1967",15.55,3,0.20,5.4432
CA-2016-161389,2016-12-05,2016-12-10,"Standard Class",IM-15070,Consumer,"United States",Seattle,Washington,West,OFF-BI-10003656,"Office Supplies",Binders,"Fellowes PB200 Plastic Comb Binding Machine",407.98,3,0.20,132.5922
US-2015-118983,2015-11-22,2015-11-26,"Standard Class",HP-14815,"Home Office","United States","Fort Worth",Texas,Central,OFF-AP-10002311,"Office Supplies",Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.80,-123.8580
US-2015-118983,2015-11-22,2015-11-26,"Standard Class",HP-14815,"Home Office","United States","Fort Worth",Texas,Central,OFF-BI-10000756,"Office Supplies",Binders,"Storex DuraTech Recycled Plastic Frosted Binders",2.54,3,0.80,-3.8160
CA-2014-105893,2014-11-11,2014-11-18,"Standard Class",PK-19075,Consumer,"United States",Madison,Wisconsin,Central,OFF-ST-10004186,"Office Supplies",Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D",665.88,6,0.00,13.3176
CA-2014-167164,2014-05-13,2014-05-15,"Second Class",AG-10270,Consumer,"United States","West Jordan",Utah,West,OFF-ST-10000107,"Office Supplies",Storage,"Fellowes Super Stor/Drawer",55.50,2,0.00,9.9900
CA-2014-143336,2014-08-27,2014-09-01,"Second Class",ZD-21925,Consumer,"United States","San Francisco",California,West,OFF-AR-10003056,"Office Supplies",Art,"Newell 341",8.56,2,0.00,2.4824
CA-2014-143336,2014-08-27,2014-09-01,"Second Class",ZD-21925,Consumer,"United States","San Francisco",California,West,TEC-PH-10001949,Technology,Phones,"Cisco SPA 501G IP Phone",213.48,3,0.20,16.0110
CA-2014-143336,2014-08-27,2014-09-01,"Second Class",ZD-21925,Consumer,"United States","San Francisco",California,West,OFF-BI-10002215,"Office Supplies",Binders,"Wilson Jones Hanging View Binder, White, 1"",22.72,4,0.20,7.3840
CA-2016-137330,2016-12-09,2016-12-13,"Standard Class",KB-16585,Corporate,"United States",Fremont,Nebraska,Central,OFF-AR-10000246,"Office Supplies",Art,"Newell 318",19.46,7,0.00,5.0596
CA-2016-137330,2016-12-09,2016-12-13,"Standard Class",KB-16585,Corporate,"United States",Fremont,Nebraska,Central,OFF-AP-10001492,"Office Supplies",Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.00,15.6884
US-2017-156909,2017-07-16,2017-07-18,"Second Class",SF-20065,Consumer,"United States",Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2,0.30,-1.0196
CA-2015-106320,2015-09-25,2015-09-30,"Standard Class",EB-13870,Consumer,"United States",Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",1044.63,3,0.00,240.2649
CA-2016-121755,2016-01-16,2016-01-20,"Second Class",EH-13945,Consumer,"United States","Los Angeles",California,West,OFF-BI-10001634,"Office Supplies",Binders,"Wilson Jones Active Use Binders",11.65,2,0.20,4.2224
CA-2016-121755,2016-01-16,2016-01-20,"Second Class",EH-13945,Consumer,"United States","Los Angeles",California,West,TEC-AC-10003027,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0.00,11.7741
US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,Consumer,"United States",Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.50,-1665.0522
US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,Consumer,"United States",Philadelphia,Pennsylvania,East,OFF-BI-10000474,"Office Supplies",Binders,"Avery Recycled Flexi-View Covers for Binding Systems",9.62,2,0.70,-7.0532
US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,Consumer,"United States",Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock",124.20,3,0.20,15.5250
US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,Consumer,"United States",Philadelphia,Pennsylvania,East,OFF-EN-10001509,"Office Supplies",Envelopes,"Poly String Tie Envelopes",3.26,2,0.20,1.1016
US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,Consumer,"United States",Philadelphia,Pennsylvania,East,OFF-AR-10004042,"Office Supplies",Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,6,0.20,9.7092
US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,Consumer,"United States",Philadelphia,Pennsylvania,East,OFF-BI-10001525,"Office Supplies",Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red",6.86,6,0.70,-5.7150
US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,Consumer,"United States",Philadelphia,Pennsylvania,East,OFF-AR-10001683,"Office Supplies",Art,"Lumber Crayons",15.76,2,0.20,3.5460
CA-2017-107727,2017-10-19,2017-10-23,"Second Class",MA-17560,"Home Office","United States",Houston,Texas,Central,OFF-PA-10000249,"Office Supplies",Paper,"Easy-staple paper",29.47,3,0.20,9.9468
CA-2016-117590,2016-12-08,2016-12-10,"First Class",GH-14485,Corporate,"United States",Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,"GE 30524EE4",1097.54,7,0.20,123.4737
CA-2016-117590,2016-12-08,2016-12-10,"First Class",GH-14485,Corporate,"United States",Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.60,-147.9630
CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,"Home Office","United States",Houston,Texas,Central,OFF-EN-10002986,"Office Supplies",Envelopes,"#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes",113.33,9,0.20,35.4150
CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,"Home Office","United States",Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,3,0.32,-46.9764
CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,"Home Office","United States",Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.30,-15.1470
CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,"Home Office","United States",Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,"Plantronics HL10 Handset Lifter",371.17,4,0.20,41.7564
CA-2017-120999,2017-09-10,2017-09-15,"Standard Class",LC-16930,Corporate,"United States",Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",147.17,4,0.20,16.5564
CA-2016-101343,2016-07-17,2016-07-22,"Standard Class",RA-19885,Corporate,"United States","Los Angeles",California,West,OFF-ST-10003479,"Office Supplies",Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.00,3.8940
CA-2017-139619,2017-09-19,2017-09-23,"Standard Class",ES-14080,Corporate,"United States",Melbourne,Florida,South,OFF-ST-10003282,"Office Supplies",Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.20,9.5616
CA-2016-118255,2016-03-11,2016-03-13,"First Class",ON-18715,Corporate,"United States",Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.00,19.7714
CA-2016-118255,2016-03-11,2016-03-13,"First Class",ON-18715,Corporate,"United States",Eagan,Minnesota,Central,OFF-BI-10003291,"Office Supplies",Binders,"Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,2,0.00,8.2062
CA-2014-146703,2014-10-20,2014-10-25,"Second Class",PO-18865,Consumer,"United States",Westland,Michigan,Central,OFF-ST-10001713,"Office Supplies",Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.00,8.4784
CA-2016-169194,2016-06-20,2016-06-25,"Standard Class",LH-16900,Consumer,"United States",Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45.00,3,0.00,4.9500
CA-2016-169194,2016-06-20,2016-06-25,"Standard Class",LH-16900,Consumer,"United States",Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2,0.00,6.1040
CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,Consumer,"United States","New Albany",Indiana,Central,OFF-BI-10004410,"Office Supplies",Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.00,17.9634
CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,Consumer,"United States","New Albany",Indiana,Central,OFF-LA-10002762,"Office Supplies",Labels,"Avery 485",75.18,6,0.00,35.3346
CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,Consumer,"United States","New Albany",Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,"Longer-Life Soft White Bulbs",6.16,2,0.00,2.9568
CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,Consumer,"United States","New Albany",Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.00,17.0981
CA-2016-105816,2016-12-11,2016-12-17,"Standard Class",JM-15265,Corporate,"United States","New York City","New York",East,OFF-FA-10000304,"Office Supplies",Fasteners,"Advantus Push Pins",15.26,7,0.00,6.2566
CA-2016-105816,2016-12-11,2016-12-17,"Standard Class",JM-15265,Corporate,"United States","New York City","New York",East,TEC-PH-10002447,Technology,Phones,"AT&T CL83451 4-Handset Telephone",1029.95,5,0.00,298.6855
CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,Consumer,"United States",Troy,"New York",East,OFF-ST-10000604,"Office Supplies",Storage,"Home/Office Personal File Carts",208.56,6,0.00,52.1400
CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,Consumer,"United States",Troy,"New York",East,OFF-PA-10001569,"Office Supplies",Paper,"Xerox 232",32.40,5,0.00,15.5520
CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,Consumer,"United States",Troy,"New York",East,FUR-CH-10003968,Furniture,Chairs,"Novimex Turbo Task Chair",319.41,5,0.10,7.0980
CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,Consumer,"United States",Troy,"New York",East,OFF-PA-10000587,"Office Supplies",Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.00,6.9888
CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,Consumer,"United States",Troy,"New York",East,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30.00,2,0.00,3.3000
CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,Consumer,"United States",Troy,"New York",East,OFF-BI-10001460,"Office Supplies",Binders,"Plastic Binding Combs",48.48,4,0.20,16.3620
CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,Consumer,"United States",Troy,"New York",East,OFF-AR-10001868,"Office Supplies",Art,"Prang Dustless Chalk Sticks",1.68,1,0.00,0.8400
CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,Consumer,"United States","Los Angeles",California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.00,6.1512
CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,Consumer,"United States","Los Angeles",California,West,OFF-BI-10001078,"Office Supplies",Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"",25.82,6,0.20,9.3612
CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,Consumer,"United States","Los Angeles",California,West,OFF-PA-10003892,"Office Supplies",Paper,"Xerox 1943",146.73,3,0.00,68.9631
CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,Consumer,"United States","Los Angeles",California,West,FUR-FU-10000397,Furniture,Furnishings,"Luxo Economy Swing Arm Lamp",79.76,4,0.00,22.3328
US-2015-164175,2015-04-30,2015-05-05,"Standard Class",PS-18970,"Home Office","United States",Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,0.30,-15.2225
CA-2014-106376,2014-12-05,2014-12-10,"Standard Class",BS-11590,Corporate,"United States",Gilbert,Arizona,West,OFF-AR-10002671,"Office Supplies",Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.20,111.3024
CA-2014-106376,2014-12-05,2014-12-10,"Standard Class",BS-11590,Corporate,"United States",Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,"netTALK DUO VoIP Telephone Service",167.97,4,0.20,62.9880
CA-2016-119823,2016-06-04,2016-06-06,"First Class",KD-16270,Consumer,"United States",Springfield,Virginia,South,OFF-PA-10000482,"Office Supplies",Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.00,35.6636
CA-2016-106075,2016-09-18,2016-09-23,"Standard Class",HM-14980,Consumer,"United States","New York City","New York",East,OFF-BI-10004654,"Office Supplies",Binders,"Avery Binding System Hidden Tab Executive Style Index Sets",4.62,1,0.20,1.7310
CA-2017-114440,2017-09-14,2017-09-17,"Second Class",TB-21520,Consumer,"United States",Jackson,Michigan,Central,OFF-PA-10004675,"Office Supplies",Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"",19.05,3,0.00,8.7630
US-2015-134026,2015-04-26,2015-05-02,"Standard Class",JE-15745,Consumer,"United States",Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,"High-Back Leather Manager's Chair",831.94,8,0.20,-114.3912
US-2015-134026,2015-04-26,2015-05-02,"Standard Class",JE-15745,Consumer,"United States",Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"",97.04,2,0.20,1.2130
US-2015-134026,2015-04-26,2015-05-02,"Standard Class",JE-15745,Consumer,"United States",Memphis,Tennessee,South,OFF-ST-10004123,"Office Supplies",Storage,"Safco Industrial Wire Shelving System",72.78,1,0.20,-18.1960
US-2017-118038,2017-12-09,2017-12-11,"First Class",KB-16600,Corporate,"United States",Houston,Texas,Central,OFF-BI-10004182,"Office Supplies",Binders,"Economy Binders",1.25,3,0.80,-1.9344
US-2017-118038,2017-12-09,2017-12-11,"First Class",KB-16600,Corporate,"United States",Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6" Cubicle Wall Clock, Black",9.71,3,0.60,-5.8248
US-2017-118038,2017-12-09,2017-12-11,"First Class",KB-16600,Corporate,"United States",Houston,Texas,Central,OFF-ST-10000615,"Office Supplies",Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.20,2.7240
US-2014-147606,2014-11-26,2014-12-01,"Second Class",JE-15745,Consumer,"United States",Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,5,0.60,-14.4750
CA-2016-127208,2016-06-12,2016-06-15,"First Class",SC-20770,Corporate,"United States",Decatur,Alabama,South,OFF-AP-10002118,"Office Supplies",Appliances,"1.7 Cubic Foot Compact "Cube" Office Refrigerators",208.16,1,0.00,56.2032
CA-2016-127208,2016-06-12,2016-06-15,"First Class",SC-20770,Corporate,"United States",Decatur,Alabama,South,OFF-BI-10002309,"Office Supplies",Binders,"Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,3,0.00,8.0352
CA-2014-139451,2014-10-12,2014-10-16,"Standard Class",DN-13690,Consumer,"United States","San Francisco",California,West,OFF-AR-10002053,"Office Supplies",Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5,0.00,4.1720
CA-2014-139451,2014-10-12,2014-10-16,"Standard Class",DN-13690,Consumer,"United States","San Francisco",California,West,OFF-ST-10002370,"Office Supplies",Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.00,6.2031
CA-2015-149734,2015-09-03,2015-09-08,"Standard Class",JC-16105,Corporate,"United States",Durham,"North Carolina",South,OFF-EN-10000927,"Office Supplies",Envelopes,"Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.98,7,0.20,62.8075
US-2017-119662,2017-11-13,2017-11-16,"First Class",CS-12400,"Home Office","United States",Chicago,Illinois,Central,OFF-ST-10003656,"Office Supplies",Storage,"Safco Industrial Wire Shelving",230.38,3,0.20,-48.9549
CA-2017-140088,2017-05-28,2017-05-30,"Second Class",PO-18865,Consumer,"United States",Columbia,"South Carolina",South,FUR-CH-10000863,Furniture,Chairs,"Novimex Swivel Fabric Task Chair",301.96,2,0.00,33.2156
CA-2017-155558,2017-10-26,2017-11-02,"Standard Class",PG-18895,Consumer,"United States",Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,1,0.00,6.7966
CA-2017-155558,2017-10-26,2017-11-02,"Standard Class",PG-18895,Consumer,"United States",Rochester,Minnesota,Central,OFF-LA-10000134,"Office Supplies",Labels,"Avery 511",6.16,2,0.00,2.9568
CA-2016-159695,2016-04-05,2016-04-10,"Second Class",GM-14455,"Home Office","United States",Houston,Texas,Central,OFF-ST-10003442,"Office Supplies",Storage,"Eldon Portable Mobile Manager",158.37,7,0.20,13.8572
CA-2016-109806,2016-09-17,2016-09-22,"Standard Class",JS-15685,Corporate,"United States","Los Angeles",California,West,OFF-AR-10004930,"Office Supplies",Art,"Turquoise Lead Holder with Pocket Clip",20.10,3,0.00,6.6330
CA-2016-109806,2016-09-17,2016-09-22,"Standard Class",JS-15685,Corporate,"United States","Los Angeles",California,West,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",73.58,2,0.20,8.2782
CA-2016-109806,2016-09-17,2016-09-22,"Standard Class",JS-15685,Corporate,"United States","Los Angeles",California,West,OFF-PA-10000304,"Office Supplies",Paper,"Xerox 1995",6.48,1,0.00,3.1104
CA-2015-149587,2015-01-31,2015-02-05,"Second Class",KB-16315,Consumer,"United States",Minneapolis,Minnesota,Central,OFF-PA-10003177,"Office Supplies",Paper,"Xerox 1999",12.96,2,0.00,6.2208
CA-2015-149587,2015-01-31,2015-02-05,"Second Class",KB-16315,Consumer,"United States",Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2" Wall Clock",53.34,3,0.00,16.5354
CA-2015-149587,2015-01-31,2015-02-05,"Second Class",KB-16315,Consumer,"United States",Minneapolis,Minnesota,Central,OFF-BI-10002852,"Office Supplies",Binders,"Ibico Standard Transparent Covers",32.96,2,0.00,16.1504
US-2017-109484,2017-11-06,2017-11-12,"Standard Class",RB-19705,"Home Office","United States",Portland,Oregon,West,OFF-BI-10004738,"Office Supplies",Binders,"Flexible Leather- Look Classic Collection Ring Binder",5.68,1,0.70,-3.7880
CA-2017-161018,2017-11-09,2017-11-11,"Second Class",PN-18775,"Home Office","United States","New York City","New York",East,FUR-FU-10000629,Furniture,Furnishings,"9-3/4 Diameter Round Wall Clock",96.53,7,0.00,40.5426
CA-2017-157833,2017-06-17,2017-06-20,"First Class",KD-16345,Consumer,"United States","San Francisco",California,West,OFF-BI-10001721,"Office Supplies",Binders,"Trimflex Flexible Post Binders",51.31,3,0.20,17.9592
CA-2016-149223,2016-09-06,2016-09-11,"Standard Class",ER-13855,Corporate,"United States","Saint Paul",Minnesota,Central,OFF-AP-10000358,"Office Supplies",Appliances,"Fellowes Basic Home/Office Series Surge Protectors",77.88,6,0.00,22.5852
CA-2016-158568,2016-08-29,2016-09-02,"Standard Class",RB-19465,"Home Office","United States",Chicago,Illinois,Central,OFF-PA-10003256,"Office Supplies",Paper,"Avery Personal Creations Heavyweight Cards",64.62,7,0.20,22.6184
CA-2016-158568,2016-08-29,2016-09-02,"Standard Class",RB-19465,"Home Office","United States",Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.98,3,0.20,-10.7973
CA-2016-158568,2016-08-29,2016-09-02,"Standard Class",RB-19465,"Home Office","United States",Chicago,Illinois,Central,OFF-BI-10002609,"Office Supplies",Binders,"Avery Hidden Tab Dividers for Binding Systems",1.79,3,0.80,-3.0396
CA-2016-129903,2016-12-01,2016-12-04,"Second Class",GZ-14470,Consumer,"United States",Rochester,Minnesota,Central,OFF-PA-10004040,"Office Supplies",Paper,"Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",23.92,4,0.00,11.7208
US-2015-156867,2015-11-13,2015-11-17,"Standard Class",LC-16870,Consumer,"United States",Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,"Logitech K350 2.4Ghz Wireless Keyboard",238.90,6,0.20,-26.8758
US-2015-156867,2015-11-13,2015-11-17,"Standard Class",LC-16870,Consumer,"United States",Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.20,-3.8385
US-2015-156867,2015-11-13,2015-11-17,"Standard Class",LC-16870,Consumer,"United States",Aurora,Colorado,West,OFF-BI-10002794,"Office Supplies",Binders,"Avery Trapezoid Ring Binder, 3" Capacity, Black, 1040 sheets",36.88,3,0.70,-25.8174
CA-2017-119004,2017-11-23,2017-11-28,"Standard Class",JM-15250,Consumer,"United States",Charlotte,"North Carolina",South,TEC-AC-10003499,Technology,Accessories,"Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.11,8,0.20,17.6016
CA-2017-119004,2017-11-23,2017-11-28,"Standard Class",JM-15250,Consumer,"United States",Charlotte,"North Carolina",South,TEC-PH-10002844,Technology,Phones,"Speck Products Candyshell Flip Case",27.99,1,0.20,2.0994
CA-2017-119004,2017-11-23,2017-11-28,"Standard Class",JM-15250,Consumer,"United States",Charlotte,"North Carolina",South,OFF-AR-10000390,"Office Supplies",Art,"Newell Chalk Holder",3.30,1,0.20,1.0738
CA-2015-129476,2015-10-15,2015-10-20,"Standard Class",PA-19060,"Home Office","United States","Orland Park",Illinois,Central,TEC-AC-10000844,Technology,Accessories,"Logitech Gaming G510s - Keyboard",339.96,5,0.20,67.9920
CA-2017-146780,2017-12-25,2017-12-30,"Standard Class",CV-12805,Corporate,"United States","New York City","New York",East,FUR-FU-10001934,Furniture,Furnishings,"Magnifier Swing Arm Lamp",41.96,2,0.00,10.9096
CA-2016-128867,2016-11-03,2016-11-10,"Standard Class",CL-12565,Consumer,"United States",Urbandale,Iowa,Central,OFF-AR-10000380,"Office Supplies",Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.00,22.7880
CA-2016-128867,2016-11-03,2016-11-10,"Standard Class",CL-12565,Consumer,"United States",Urbandale,Iowa,Central,OFF-BI-10003981,"Office Supplies",Binders,"Avery Durable Plastic 1" Binders",27.24,6,0.00,13.3476
CA-2014-115259,2014-08-25,2014-08-27,"Second Class",RC-19960,Consumer,"United States",Columbus,Ohio,East,OFF-FA-10000621,"Office Supplies",Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.10,14,0.20,14.5348
CA-2014-115259,2014-08-25,2014-08-27,"Second Class",RC-19960,Consumer,"United States",Columbus,Ohio,East,OFF-EN-10002600,"Office Supplies",Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.20,1.6520
CA-2014-115259,2014-08-25,2014-08-27,"Second Class",RC-19960,Consumer,"United States",Columbus,Ohio,East,OFF-PA-10004965,"Office Supplies",Paper,"Xerox 1921",23.98,3,0.20,7.4925
CA-2014-115259,2014-08-25,2014-08-27,"Second Class",RC-19960,Consumer,"United States",Columbus,Ohio,East,OFF-EN-10002504,"Office Supplies",Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.46,6,0.20,44.0316
